# review_specimens/gh_hook.tsv — every post form a review round found, replayed by `review.py specimen-corpus`
# against scrub.gh_hook under a fixture key. A blocker's specimen is a new line here, never only prose.
#
# expect <TAB> cwd <TAB> command
#   expect  0 = the post passes · 2 = refused
#   cwd     - (the hook's own) · home (the marker-bearing directory below)
#   command \n is a newline; placeholders:
#     {M}      a word the fixture key marks private
#     {HOME}   a directory whose own name carries {M}
#     {CLEAN}  {HOME}/clean.md, a public sentence
#     {DIRTY}  {HOME}/body.md, a line carrying {M}
#
# #91 build — the first cut
2	-	gh issue create --repo o/r --title x --body "measured at {M}"
2	-	gh issue comment 9 --repo o/r --body "$(cat <<'EOF'\nfine\nfor {M}\nEOF\n)"
2	-	gh pr create --title t --body-file {DIRTY}
0	-	gh issue create --repo o/r --title x --body "a public sentence"
0	-	grep {M} notes.md
# #91 round 1 — B1: only what travels is scrubbed (a path, a cd, a --repo never reach GitHub)
0	-	gh issue create --repo o/r --title t --body-file {CLEAN}
0	-	cd {HOME} && gh issue close 91 --repo o/r --comment done
0	-	gh issue create --title t --body-file {CLEAN} && echo {HOME}
# #91 round 1 — B2: a body the hook cannot read refuses
2	-	gh issue create --title t --body-file={DIRTY}
2	home	gh issue create --title t -F body.md
2	-	cd {HOME} && gh issue create --title t -F body.md
2	-	cat {DIRTY} | gh issue create --title t --body-file -
2	-	gh issue create --title t --body-file {HOME}/absent.md
2	-	gh issue create --title t --body-file - <<'EOF'\nfor {M}\nEOF
0	-	gh issue create --title t --body-file - <<'EOF'\na public sentence\nEOF
0	-	python3 - <<'PY'\nsp = '{HOME}'\nprint("gh issue comment 1 --body x")\nPY\ngh issue close 3 --comment done
0	-	gh issue comment 9 --body "$(cat <<'EOF'\nit's fine\nEOF\n)"
2	-	gh issue create --title "a (parenthesised) title" --body "$(cat <<'EOF'\nfor {M}\nEOF\n)"
0	-	gh issue comment 9 --body "$(cat <<'EOF'\n1) the first\n2) a :) face\nEOF\n)"
# #91 round 2 — B3: a post is recognised from parsed words, however gh is named and wherever its flags sit
2	-	gh -R o/r issue create -t x -b {M}
2	-	gh issue --repo o/r comment 1 -b {M}
2	-	gh issue \\\ncomment 1 -b {M}
2	-	/usr/bin/gh issue comment 1 -b {M}
2	-	"gh" issue comment 1 -b {M}
2	-	gh issue comment 1 -b{M}
2	-	gh --repo=o/r pr create --title fix#3 --body {M}
2	-	sh -c 'gh issue comment 1 --body {M}'
# #91 round 2 — B4: a word the shell builds is read when static, refused otherwise
2	-	gh issue create -t x -b "$(cat {DIRTY})"
2	-	gh issue create -t x -b "`cat {DIRTY}`"
2	-	B=$(cat {DIRTY}); gh issue create -t x -b "$B"
2	-	cat notes | xargs gh issue comment 1 -b
0	-	gh issue create -t x -b "$(cat {CLEAN})"
0	-	D={HOME}; gh issue create -t x --body-file "$D/clean.md"
2	-	D={HOME}; gh issue create -t x --body-file "$D/body.md"
2	-	gh issue comment 1 --body "$(git log -1 --format=%s)"
0	-	gh issue create --title t --body '## What\n`scrub.py` costs $5 and '"'"'$(nothing)'"'"' runs'
2	-	gh issue create --title t --body '## What\n`scrub.py` is for {M}'
# #91 round 3 — B5: every word after the head travels (no flag arity assumed); B6: expansions; B7: verbs and shells
2	-	gh pr review 7 --comment --body {M}
2	-	gh pr review 7 -c -b {M}
2	-	gh issue edit 3 --add-label {M}
0	-	gh issue close 3 --comment done > {HOME}/log 2>&1
0	-	gh issue close 3 --comment done >{HOME}/log
0	-	gh release create v1 --notes-file {CLEAN}
2	-	gh release edit v1 --notes-file {DIRTY}
2	home	gh issue comment 1 --body-file - <<EOF\nsee $(cat body.md)\nEOF
2	-	echo {M} | gh issue comment 1 --body-file /dev/stdin
2	-	set -- {M}; gh issue comment 1 -b "$1"
2	-	f(){ gh issue comment 1 -b "$@"; }; f {M}
2	home	gh issue create -t x --body-file "$PWD/body.md"
2	-	gh issue comment 1 -b "$ANY_PROFILE_VARIABLE_ZZ"
2	-	gh issue reopen 1 --comment {M}
2	-	gh pr reopen 2 --comment {M}
2	-	bash -ec 'gh issue comment 1 --body {M}'
0	-	cd "$UNSET_ZZ" && gh issue view 3
0	-	gh -R o/r issue view 9
0	-	gh issue list --repo o/r
# #91 round 4 — B9: a heredoc spelled inside quotes is text, and a heredoc fed to a shell is a script
2	-	gh issue comment 1 --body 'repro:\ncat <<EOF\n{M}\nEOF\ndone'
2	-	gh issue comment 1 --body "repro:\ncat <<EOF\n{M}\nEOF\ndone"
2	-	bash <<'EOF'\ngh issue comment 1 --body {M}\nEOF
# #91 round 4 — B10: a quoted word is never a redirection
2	-	gh issue comment 1 --body ">{M}"
2	-	gh issue edit 1 --title "<{M}>"
2	-	gh issue create -t t --body '<{M}>'
# #91 round 4 — B11: a built word in the group or verb slot expands or refuses
2	-	V=comment; gh issue $V 1 -b {M}
# #91 round 5 — B12: a shell's script (options before -c, a prefix assignment, a built -c/eval) · B13: bash's heredoc end line and delimiter · B14: a greedy quoted-heredoc body
2	-	bash -euo pipefail -c 'gh issue comment 1 --body {M}'
2	-	bash --norc --noprofile -c 'gh issue comment 1 --body {M}'
2	-	FOO=1 bash <<'EOF'\ngh issue comment 1 --body {M}\nEOF
2	-	bash -c "$(cat <<'EOF'\ngh issue comment 1 --body {M}\nEOF\n)"
2	-	eval "$(cat <<'EOF'\ngh issue comment 1 --body {M}\nEOF\n)"
2	-	cat > x.txt <<E"O"F\nhi\nEOF\ngh issue comment 1 --body {M}\nE"O"F
2	-	cat > x.txt <<E\\OF\nhi\nEOF\ngh issue comment 1 --body {M}\nE\\OF
2	-	gh issue comment 1 --body-file - <<'EOF'\nclean\n EOF\n{M}\nEOF
2	-	gh issue comment 1 --body-file - <<'EOF'\nclean\nEOF \n{M}\nEOF
2	-	cat > x.txt <<'EOF'\nx\\\nEOF\ngh issue comment 1 --body {M}\nEOF
2	home	gh issue comment 1 --body "$(cat <<'EOF'\nclean\nEOF\n)$(cat body.md)\nEOF\n)"
0	-	gh issue create --repo o/r --label x --title "a (t) title" --body "$(cat <<'EOF'\n## What\n`scrub.py` costs $5, <<EOF and a > b (really) $(nothing) 1) item\nEOF\n)"
# #91 round 6 — B15: an assignment bash keeps (or drops) where the hook read otherwise
2	-	B=a; if true; then B="$(cat {DIRTY})"; fi; gh issue comment 1 --body "$B"
2	-	B=a; export B={M}; gh issue comment 1 -b "$B"
